DataType,DataSize,Algorithm,Comparisons,Time(s)
Reversed,2000,merge-sort,10864,0.004654
Reversed,2000,quick-sort,18262,0.000682
Reversed,2000,counting-sort,2000,0.000139
Reversed,2000,radix-sort,26039,0.000566
Reversed,2000,flash-sort,2000,0.000247
Reversed,5000,selection-sort,12497500,0.377912
Reversed,5000,insertion-sort,12497500,0.381045
Reversed,5000,bubble-sort,12497500,0.733977
Reversed,5000,shaker-sort,12497500,0.615
Reversed,5000,shell-sort,78798,0.002734
Reversed,5000,heap-sort,103227,0.004622
Reversed,5000,merge-sort,29804,0.010995
Reversed,5000,quick-sort,52127,0.001469
Reversed,5000,counting-sort,5000,0.00052
Reversed,5000,radix-sort,65039,0.001398
Reversed,5000,flash-sort,5000,0.00084
Reversed,10000,selection-sort,49995000,1.484127
Reversed,10000,insertion-sort,49995000,1.517119
Reversed,10000,bubble-sort,49995000,2.935756
Reversed,10000,shaker-sort,49995000,2.468312
Reversed,10000,shell-sort,172578,0.005406
Reversed,10000,heap-sort,226682,0.009838
Reversed,10000,merge-sort,64608,0.021525
Reversed,10000,quick-sort,114243,0.003443
Reversed,10000,counting-sort,10000,0.000874
Reversed,10000,radix-sort,130039,0.002773
Reversed,10000,flash-sort,10000,0.001221
Reversed,20000,selection-sort,199990000,5.896045
Reversed,20000,insertion-sort,199990000,6.075681
Reversed,20000,bubble-sort,199990000,11.71405
Reversed,20000,shaker-sort,199990000,9.813412
Reversed,20000,shell-sort,375138,0.011795
Reversed,20000,heap-sort,493307,0.022133
Reversed,20000,merge-sort,139216,0.044046
Reversed,20000,quick-sort,248473,0.007144
Reversed,20000,counting-sort,20000,0.001439
Reversed,20000,radix-sort,320049,0.007085
Reversed,20000,flash-sort,20000,0.00291
NearlySorted,1000,selection-sort,499500,0.014791
NearlySorted,1000,insertion-sort,8616,0.000383
NearlySorted,1000,bubble-sort,499500,0.014979
NearlySorted,1000,shaker-sort,499500,0.010635
NearlySorted,1000,shell-sort,10526,0.000492
NearlySorted,1000,heap-sort,17555,0.00076
NearlySorted,1000,merge-sort,6603,0.002117
NearlySorted,1000,quick-sort,8150,0.000237
NearlySorted,1000,counting-sort,1000,0.000114
NearlySorted,1000,radix-sort,10029,0.00035
NearlySorted,1000,flash-sort,1000,0.000133
NearlySorted,2000,selection-sort,1999000,0.059601
NearlySorted,2000,insertion-sort,15732,0.000418
NearlySorted,2000,bubble-sort,1999000,0.059734
NearlySorted,2000,shaker-sort,1999000,0.045795
NearlySorted,2000,shell-sort,22340,0.000997
NearlySorted,2000,heap-sort,39210,0.001945
NearlySorted,2000,merge-sort,13779,0.004164
NearlySorted,2000,quick-sort,18774,0.000764
NearlySorted,2000,counting-sort,2000,0.000225
NearlySorted,2000,radix-sort,26039,0.000561
NearlySorted,2000,flash-sort,2000,0.000404
NearlySorted,5000,selection-sort,12497500,0.369856
NearlySorted,5000,insertion-sort,22654,0.001137
NearlySorted,5000,bubble-sort,12497500,0.372515
NearlySorted,5000,shaker-sort,12497500,0.25641
NearlySorted,5000,shell-sort,60668,0.00204
NearlySorted,5000,heap-sort,112126,0.004726
NearlySorted,5000,merge-sort,37168,0.011162
NearlySorted,5000,quick-sort,51823,0.001639
NearlySorted,5000,counting-sort,5000,0.000346
NearlySorted,5000,radix-sort,65039,0.001382
NearlySorted,5000,flash-sort,5000,0.000589
NearlySorted,10000,selection-sort,49995000,1.478036
NearlySorted,10000,insertion-sort,92224,0.002483
NearlySorted,10000,bubble-sort,49995000,1.487171
NearlySorted,10000,shaker-sort,49995000,1.0378
NearlySorted,10000,shell-sort,141565,0.004404
NearlySorted,10000,heap-sort,244459,0.011009
NearlySorted,10000,merge-sort,88843,0.020868
NearlySorted,10000,quick-sort,114727,0.003596
NearlySorted,10000,counting-sort,10000,0.000691
NearlySorted,10000,radix-sort,130039,0.002799
NearlySorted,10000,flash-sort,10000,0.001546
NearlySorted,20000,selection-sort,199990000,5.920987
NearlySorted,20000,insertion-sort,133348,0.004522
NearlySorted,20000,bubble-sort,199990000,5.9057
NearlySorted,20000,shaker-sort,199990000,4.137657
NearlySorted,20000,shell-sort,291948,0.00911
NearlySorted,20000,heap-sort,529056,0.022404
NearlySorted,20000,merge-sort,176813,0.045811
NearlySorted,20000,quick-sort,247334,0.006639
NearlySorted,20000,counting-sort,20000,0.001696
NearlySorted,20000,radix-sort,320049,0.007286
NearlySorted,20000,flash-sort,20000,0.002367
